,review
69,지 팔자 지가 꼰다
70,"미친영화,, 유년시절과 현재를 관통한다."
71,어린 거미는 이번 영화로 끝이 났다.
72,화장실을 갈 필요가 없습니다.줄줄 흐르기 때문이죠^^
73,"3부작의 웅장한 마무리이자, 새로운 스파이더맨 시리즈의 훌륭한 시작점"
74,피터야 이제 책임을 질 줄 아는 어른이 됐구나
75,단연컨데 제 인생 영화입니다...
76,개봉하자마자 영화본 사람이 승리자
77,"1점 까지는 아니지만 평점이 너무 높아서.. 주인공, 스토리 너무 고구마같이 답답해서 미치는줄.."
78,극장에서 관객들이 탄성 지르는거 진짜 오랫만에 봄.나도 덩달아 우와~~~ 너무 재밌게 봤네요.
79,스파이더맨 팬이면 정말 재밌게볼수있어요
80,팬들에게는 최고의 선물이지만 일반인은 갸우뚱
81,20년간 스파이더맨 영화를 사랑했던 모든 팬들에게 주는 크리스마스 선물
82,ENTP로써 피터의 행동 킹받음
83,스파이더맨에 스파이더맨 나옴.
84,MCU 어벤져스 스파이더맨이 스파이더맨이 되었다
85,내가 봤던 스파이더맨 영화중 가장 감동이였다.
86,31살 먹고도 스파이더맨을 보면 가슴이 웅장해집니다. 마블 최고의 영웅
87,항상 꿈꿔오던 순간을 마주하고 말았다....
88,영화를 다 이해하기위해서 봐야할 작품이 너무 많음.  영화를 비롯해 드라마 애니메이션까지.그럼에도 내 어린시절을 다시 돌려받은것같아 너무 행복했음
89,와~  토비형 앤드류형 결국 나와줬구나! 특히 토비형 너무 보고싶었어! 눈물난다~ 하나도 안늙었구나 ㅠㅠ 정말 고마워 나와줘서 영화 보면서 감탄사 연발이었다  내인생의 스파이더맨 토비형님!
90,핵고구마짓도 마블은 다 이유가 있었다
91,제발 아무것도 보지 말고 최대한 빨리 보러가세요
92,어벤져스 엔드게임을 위해 모든 마블 MCU 시리즈가 존재한다면20년 전부터 개봉한 모든 스파이더맨 시리즈는 이 한 편을 위한 것이었다 해도 과언이 아닐 듯수다쟁이 다정한 이웃 스파이더맨.개인적으로 역사에 남을 작품이...
93,이제야 가난한 흙수저 스파이더맨의 시작.
94,20년 서사를 2시간에 느끼게해줌
95,살아오며 스파이더맨 영화를 모두 봐온 사람이라면 감동할 수밖에 없다.
96,이제 이 영화냐 엔드 게임이냐 견주는 사람이 많을 거 같다.
97,그래...스파이더맨의 상징은 거미줄이 아니라 가난과 고독이었지...
98,마블을 사랑한 사람들에게 어벤져스가있었다면스파이더맨을 사랑한 사람들에겐 어벤져스 그 이상급의 영화인듯 합니다... 히어로 영화보면서 눈물흘릴줄은 상상도 못했네요.
99,왜항상 피터파커는 마음이 아파야하나...행복해라 피터야 ㅜㅜ
100,톰스파의 완벽하고 완전한 성장.그리고 스파이더맨 팬들을 위한 최고의 선물
101,마블이 돌아왔구나..!
102,스파이더맨 오지랍 때문에 닥터스트레인지 개고생하는 영화
103,개인적으로는 조금 유치했다
104,몰라 그냥 존나 재밌어 진짜 재미 없다고 하는 분들 진짜 죄송한데 이해가 안 가요.스파이더맨 지금까지 나온 7부작 다 안 보신 분들 인 것 같음..; 이정도 스토리 라인이면되게 잘 짠 것 같은데 진짜 너무 재밌음 ㅠ...
105,위 아래로 다 쌀 수 있는 영화
106,저는 너무 답답했습니다... 왜 살려...
107,"걍 피터 잘못, 또 잘못, 또 잘못존나 억지"
108,올해 최고의 마블 영화
109,아련하고 코끝이 찡하다. 스파이더맨은 감성적인 곡예를 선보이며 어른으로 성장하고 닥터 스트레인지는 페이즈를 확장할 수 밖에 없는 대형 사고를 친다. 우리 아이들은 마블과 함께 어른이 되고 난 마블과 함께 늙어 간다....
110,정말 스파이더맨으로 가는 과정. 너무나 안타깝지만 스파이더맨의 헌정 영화가 아닐까
111,짜릿하다 아주. 쿠키도 완벽 ㅜㅜ
112,스파이더맨 시리즈를 좋아한 팬에게 헌정하는 종합선물세트
113,완벽한 홀로서기 완벽한 팬서비스
114,왜 좋아하는지는 알겠다. 왜 종합선물세트인지도 알겠고.하지만 마블세계관이 그다지 흥미롭지 않은 사람에겐 별로 매력적이지 못하다너무 산만하다. 뻔하고. 익숙하다. 애니메이션 스파이더맨을 봐서 그런가. 발암캐릭 주인공도...
115,추억에 의존한 거대한 아이디어와 떨어지는완성도
116,"스파이더맨 나이대가 낮은건 이해하지만 너무 억지스러운 연출이 많았던 것 같습니다. 스파이더맨 자체에 매력을 느끼는 분들에겐 추천, 아이언맨이나 캡틴아메리카 같은 전통적인 히어로물 생각하고 가시면 실망할 것 같습니다...."
117,"다신 못느낄 줄 알았던 엔드게임의 전율, 돌아오다."
118,"생각할수록 참 아쉬운점이 많습니다. 개연성과 액션은 허접한건 말할것도 없고 ""그 소재""를 가지고 그정도 티키타카 대사와 활강씬밖에 못 만든건 기대 이하입니다."
119,ㅠㅠ역대급이었다 n차각ㄱ임..
120,"02년도 개봉한 스파이더맨부터 모두 본 사람들만이 느낄 수 있는 전율, 슬픔, 기쁨이 담겨 있다. 등장인물이 많아 자칫 난잡해질 수 있는 스토리를 이번에도 마블이 영리하게 풀어냈다. 스파이더맨 팬에게는 이보다 더 큰..."
121,나의 10대 20대 30대 의 추억을 한자리에서 볼수있어서 감사합니다
122,진짜 스파이더맨 예전부터 봤으면 가슴이 웅장해진다
123,아 ㅋㅋ 이게 나한텐 크리스마스 선물이라고
124,나의 울음포인트1) 토비형.. 왜이렇게 늙었어 ㅠㅠ2) 아필락좌가 엠제이 구하고나서 못구했던 그웬을 떠올리면서 울먹이던 모습 이 부분이 너무 좋았음?2002년부터 개봉했던 스파이더맨의 종합선물세트?스파이더맨 영화 ...
125,세번은 울었다..진짜 어메이징스파이더 때매 ㅠMJ구하고우는장면은 진짜 ㅠ 최고
126,큰 힘엔 큰 책임이 따른다
127,"""다 컸구나! 잘 지냈니?"""
128,스파이더맨의 팬들이라면 이 작품을 보면 놀라움의 연속이다
129,스파이더맨을 사랑해왔던 모든 사람들에게 바치는 종합 선물 세트.
130,개좋아 진짜 바로 2차뛰러감
131,영화관에서 소름돋은 적이 얼마만인지
132,마블 최고의 영화였습니다.
133,역대급 ㅎㅎ 소름!이터널스로 실망했는데드디어 마블이 돌아왔다!
134,"냉정하게 스토리는 답답함, 3스파를 모았지만 어떻게든 그들의 상징성 있는 장면을 끼워넣을려고 해서 스토리가 답답함, 빌런들은 각각 그들의 영화에선 메인빌런들이라 원작들에서의 무게감이 있지만 영화 한 편에 다 집어 넣..."
135,지금 10대들은 모를거다. 내가 너희 나이때 봤던게 샘레이미 스파이더맨1이었다는 것을..20년이지나서 트릴로지를 본다는게 너무나도 웅장하다
136,반가운 그의 얼굴을 보고 눈물이 날 뻔 했다...
137,캐릭터가 지닌 고유의 힘 + 능력있는 연출자가 만나 제대로 대폭발했다.  Good! / 그리고 '이터널스' 감독은 이 영화 보고 반성문 100장 작성해야 함...
138,어릴 적 부터 이어져왔던 나의 스파이더맨의 완벽한 마무리.
139,"누구에게나 재밌을 수 있게 만들어졌지만, 아.. 어릴적 스파이더맨1을 처음 보며 신세계를 접하고 스파이더맨의 깐부가 된 80, 90년대생에게는 어마어마한 감동까지 덤으로 줬습니다..ㅠㅠㅠ 상상을 현실로 구현해주셨네요..."
